text,label
"Wow. Well, let's start with civilian life. Half of Dagestan needs to be replanted",hatespeech
"They’re also climbing out of there..... Fuck the whole Caucasus under the CTO regime. Muslims are eye to eye. They blather about shorts, niqabs, beards, Jews, Palestine, Russians or women with their faces to the floor. To a boxcar and to a new land",hatespeech
"Just like ours. Well, yes, we are very happy about the high birth rate among Muslims",hatespeech
Just like in Chechnya)) they walk through the streets with machine guns) Kadyrka’s fucking voice!!,hatespeech
"But the backpacks are to blame for everything. Well, it’s us who are inciting interethnic hatred)))) The Caucasus needs to be fully spun. Having eliminated the fucking autonomies along the way. Appoint at least Russian heads everywhere. Such chances are...",hatespeech
Bitch finally!!! And never take it off!!! These bastards don't know how to live any other way!!!,hatespeech
Hasbik Khabib and Muslim must be imprisoned after this. Melikov should be shot. And all pop-mmas must be leveled to the ground. Close underground mosques immediately,hatespeech
"All friendly people's lips and mayors are behind bars, resign or to Lenin. 99% of mmgrants come from the country",hatespeech
"What do they support then? They have two options: us or them. Or renunciation of this ego and acceptance of our values. Or like these, who went to serve the devil. This means no fuss about shorts and swimsuits. Although on the beach there it seems more or less. Girls in swimsuits, men without shirts",hatespeech
Force Kadyrov to shave his beard,hatespeech
"It will happen again. Until the friendly people die and the Yermolovites come, nothing will change.",hatespeech
The head of the region must be hanged. I don't believe he didn't see anything. How many of these are there still in Dagestan?,hatespeech
"I’m in favor) By the way, before the Romanovs came to power, the tsars slaughtered almost all of the elite of the conquered peoples, and only took a few into their courtyard)))",hatespeech
Shoot the half-father. Why don't you give birth if you can't raise it?,hatespeech
And we were rooting for him......the freak,hatespeech
"Until half of Dagestan sits down. In particular, all the Dargins and Avars who are the most numerous. Probably nothing will change",hatespeech
"Yeah. Yes, yes, we remember, we remember. In short, that's all. From now on, the Russian formula is right by default until proven otherwise. These fuckers are no better than Asian chicks. Of all the cases, probably the cases with them and the Chechens make up a maximum of 10%, and of these 10%, 90% of the cases are provoked by these very people. So the error in the method and the level of injustice is 1%. Racism? Yes. Pine!",hatespeech
"Yeah. Just ask them all, since they have a clan-teip system there, why the hell didn’t they notice?",hatespeech
"Well, how about it!! Bravo! First Ingushetia, then the Karachay-Cherkess Republic, then a riot in prison with prison jaamat, and now voila, also the Abkhazians. It seems like the Circassians alone haven’t touched anyone yet. Bitches remember what the kings did to them",hatespeech
"What are we waiting for????? Paris, London and Berlin must be knife bloodbaths!! Algerians, Moroccans, Sudanese, Turks, Arabs. Even former Ichkerians. All means are good!! The Albanians and their drug cartels are worth a lot!!",hatespeech
They don't recognize it. Until these scumbags crush their sides and break their pride over the knee and back.,hatespeech
